puuid,match_ids
dv9AMNmEYtDRmpvER7MzttrNep6q8i6RUTIuR94uZmI63YEDY0QrKN0HAtYxc-hV4uj47zDulFL9GQ,"[""KR_7208489786"", ""KR_7208277368"", ""KR_7208243350""]"
-oht8H_bSuBjGI6h7-rnyBLzvVnNvcJcgJzgljeG2jNnC-8WBMA4mT4jtYSwQlkVs6LxVo0JzSZQ9g,"[""KR_7210944802"", ""KR_7210893678"", ""KR_7210837871""]"
WEK-cQak3F8_LMi4Qf10nmDkCv1XIF5yhJ9TpPHpY9SHlT0AnkdbtIyktmVENrqrxE0nGSE9KxspoA,"[""KR_7213753556"", ""KR_7213632075"", ""KR_7213537995""]"
_cqV9brfNBDg-uMu-Txg3weh2KAYLW1B_A9ind9Jg0XGqTWDffnLXwtrZ836NdxFPxGlHJVNMZrZ1w,"[""KR_7214792556"", ""KR_7214716892"", ""KR_7214649937""]"
Nd9KS8dNIDeN6cdUpapQ8lXSLsyP1Mzlx_xFrfPK08W_hJCUGCqOuYjpIAALjOvQv7nubiPW1_bQ5A,"[""KR_7213678646"", ""KR_7213529160"", ""KR_7213048606""]"
-m1qh23XderKINrRmH2Yl2unmMKrqcxXhj3iBtip4X67mOEWn51FvYd30Extg7U0oxKJElXWq6f7Mw,"[""KR_7213173211"", ""KR_7213152994"", ""KR_7213101084""]"
SAB4pL5i2kp0w-nBFw1ZJKWXNArmPVgfOFYmacGFK-QPqh086qdxdYpuNn55QkdnVwnQFuDr0lPfjw,"[""KR_7199757709"", ""KR_7199745316"", ""KR_7199722446""]"
h9AsW2bKTnkSYSsBRbP7PCFyNfPn5oJcz3qsIjFWIjPr5vA4L8EyQbSZzEarZpOCsd9n8Y3iuQwJvw,"[""KR_7212922599"", ""KR_7185376361"", ""KR_7185289437""]"
bHao_ZzdAz4poCtqGsLBDuNfN7a928ncUwJ2ZU8BhMJ1fv_Bdb7SRK9zrSp6kSMzMEJJaEU8peVfjQ,"[""KR_7214682839"", ""KR_7214608759"", ""KR_7214539973""]"
twQLlQWcfoNiE-IT6Wtkz59I5VrLn4FYM9_uS4cdRI8O34ya5l14f0cl83JFQWH9OPWi0Zx9ZWasYA,"[""KR_7214001906"", ""KR_7213974857"", ""KR_7213959631""]"
9vUcuEYu1X37aSRzBm1a-uLyLD4hu0g5KhsU7KEUKGjesoim0B-RyzFrM6eKtmJuZpaGSmR5FtVMjg,"[""KR_7211992561"", ""KR_7211965649"", ""KR_7211917454""]"
nZXqp5Riw7hiNESSZ0J5XSCnRRUU7_RTDgoAND5kSbs1jPE2mXM5zW0OtyMyx02ydqtoGUJDQGcMfA,"[""KR_7211378804"", ""KR_7209756859"", ""KR_7208353794""]"
Ap1HQSDgJGTW_sRAajCzt8eTK3BjF3NYcla1ZPn6Gn8PQcGkh_uN6IlIFpTiOhas3Eu5Ts2MUPBg2g,"[""KR_7213873949"", ""KR_7213808950"", ""KR_7213758258""]"
_jYYQ7Olg9jA8sLZ50H8lntu7KVJvspXSg5FWQTCVjMIl_BVRUlQ0n7-q_ym7-8SR6wM46Hx-rQOPg,"[""KR_7214506082"", ""KR_7214409590"", ""KR_7214284482""]"
OYDjXoKxkiaMR4IieLo-zFtCeM5OglSL6Ks28LtGBJiPTXIVFRkyg1LoPr6zoHIblRHCdpT6rZFhYg,"[""KR_7214780518"", ""KR_7213992447"", ""KR_7213976370""]"
enOpFB_GJoAvgE9DcbYh2CCqkgYIUhM5jVExHkYYlUoBl7RbmVYml82qRhcb9x7cWhkSs9FMFs93bA,"[""KR_7213960506"", ""KR_7213734257"", ""KR_7198605923""]"
4yP_0NmDPQ5fiQv9Nibz3oxtcHuGUfg55FzDX1xxm_7d4_koUysrx5i0YikKQDDBjdawoW4wJpLPGQ,"[""KR_7214716892"", ""KR_7214649937"", ""KR_7214584474""]"
2QLnIoL8AOcOVerBlv7MDoHL-InULtbtoQgCWeG-63flL2QsZ_D3BHWHbwHC7u37YhgorpFhB_c27g,"[""KR_7214008188"", ""KR_7213981768"", ""KR_7213979010""]"
FQsRpt57XzNJJN25ipKKJtHOjXrfNhhDQpj0mNia1Rkt7tYXCgCS_txkVfVvocAi9q_pvB2UveOoqQ,"[""KR_7213892322"", ""KR_7213859761"", ""KR_7213830300""]"
6EskyettlgmusYb34sgyQZP5zPvG4rm8uga1YmGNCjsz8Fu8TPoU0adg73As1pEC2X2qhnkLbxnYYQ,"[""KR_7213873949"", ""KR_7213839575"", ""KR_7213815274""]"
qFxqQeLkziRn47EORyYBInyTOgRSZIDd8yryUPQG0EggKKFQsXol029MOJWqTfb63U9z2k3c3vjlDA,"[""KR_7211784317"", ""KR_7211708251"", ""KR_7211645345""]"
wcmOnsHJTE5QwGnpL9647v0EwgO-NKc9aYY9R4nDryMlVjtDkvxn63qd_be0By2E3lN5IMI35xkwmg,"[""KR_7213947545"", ""KR_7213938497"", ""KR_7213920934""]"
R787DlsCHk2Z94l1bz1RM-CLjf4HpZV4BJvTXhWIIIrOs2yLIK4yBQ-4sKYqIwi1ipqNsC08is65ew,"[""KR_7156898963"", ""KR_7156875169"", ""KR_7156847876""]"
XHVkweDu5oSmJXQUd5ymk-oVNwujybRgcbQH4JUHNdIkIQg2xgPPll7y0GznE02JXYLtwkWfz8s54g,"[""KR_7212610528"", ""KR_7209229619"", ""KR_7207570457""]"
dM28ACHNMKchLHOavF9Oxcpgl38FtFYorf2hVmsqAH4fyL6GB2IpeTTVFAkf7AnwkX5YttWgpuBFsw,"[""KR_7213813660"", ""KR_7213784870"", ""KR_7213730343""]"
eP_FdtzaXWu1fI5TikpIs4IvSihjiJebW5eEVdbngOEh2sm7CH4vkpSJIi8OvHwikw8q0eFyZ0ejDA,"[""KR_7214792556"", ""KR_7214716892"", ""KR_7212718140""]"
nVbKQLcIxz8ycuik8wnCbZbhHCkCu0DcrL225mVm4QDCNQ_EWLfWFy8lKt2angLOrEUJpFJy3lg3LA,"[""KR_7213582482"", ""KR_7213474697"", ""KR_7213406918""]"
